UTC_TIME;CURRENCY;IMPACT;EVENT
2026-06-01T10:00:00Z;USD;HIGH;ISM Manufacturing PMI
2026-06-02T10:00:00Z;GBP;HIGH;BOE Gov Bailey Speaks
2026-06-03T08:15:00Z;USD;HIGH;ADP Non-Farm Employment Change
2026-06-03T10:00:00Z;USD;HIGH;ISM Services PMI
2026-06-04T11:40:00Z;GBP;HIGH;BOE Gov Bailey Speaks
2026-06-05T08:30:00Z;CAD;HIGH;Employment Change
2026-06-05T08:30:00Z;CAD;HIGH;Unemployment Rate
2026-06-05T08:30:00Z;USD;HIGH;Average Hourly Earnings m/m
2026-06-05T08:30:00Z;USD;HIGH;Non-Farm Employment Change
2026-06-05T08:30:00Z;USD;HIGH;Unemployment Rate
2026-06-10T08:30:00Z;USD;HIGH;Core CPI m/m
2026-06-10T08:30:00Z;USD;HIGH;Core CPI y/y
2026-06-10T08:30:00Z;USD;HIGH;CPI m/m
2026-06-10T08:30:00Z;USD;HIGH;CPI y/y
2026-06-10T09:45:00Z;CAD;HIGH;BOC Rate Statement
2026-06-10T09:45:00Z;CAD;HIGH;Overnight Rate
2026-06-10T10:30:00Z;CAD;HIGH;BOC Press Conference
2026-06-11T08:15:00Z;EUR;HIGH;Main Refinancing Rate
2026-06-11T08:15:00Z;EUR;HIGH;Monetary Policy Statement
2026-06-11T08:30:00Z;USD;HIGH;Core PPI m/m
2026-06-11T08:30:00Z;USD;HIGH;PPI m/m
2026-06-11T08:45:00Z;EUR;HIGH;ECB Press Conference
2026-06-12T02:00:00Z;GBP;HIGH;GDP m/m
2026-06-17T02:00:00Z;GBP;HIGH;CPI y/y
2026-06-17T14:00:00Z;USD;HIGH;Federal Funds Rate
2026-06-17T14:00:00Z;USD;HIGH;FOMC Economic Projections
2026-06-17T14:00:00Z;USD;HIGH;FOMC Statement
2026-06-17T14:30:00Z;USD;HIGH;FOMC Press Conference
2026-06-18T02:00:00Z;GBP;HIGH;Claimant Count Change
2026-06-18T07:00:00Z;GBP;HIGH;Monetary Policy Summary
2026-06-18T07:00:00Z;GBP;HIGH;MPC Official Bank Rate Votes
2026-06-18T07:00:00Z;GBP;HIGH;Official Bank Rate
2026-06-22T08:30:00Z;CAD;HIGH;CPI m/m
2026-06-22T08:30:00Z;CAD;HIGH;Median CPI y/y
2026-06-22T08:30:00Z;CAD;HIGH;Trimmed CPI y/y
2026-06-25T08:30:00Z;USD;HIGH;Core PCE Price Index m/m
2026-06-25T08:30:00Z;USD;HIGH;Final GDP q/q
2026-06-30T08:30:00Z;CAD;HIGH;GDP m/m
2026-07-01T09:00:00Z;GBP;HIGH;BOE Gov Bailey Speaks
2026-07-01T09:00:00Z;USD;HIGH;Fed Chairman Warsh Speaks
2026-07-01T10:00:00Z;USD;HIGH;ISM Manufacturing PMI
2026-07-02T08:30:00Z;USD;HIGH;Average Hourly Earnings m/m
2026-07-02T08:30:00Z;USD;HIGH;Non-Farm Employment Change
2026-07-02T08:30:00Z;USD;HIGH;Unemployment Rate
2026-07-06T10:00:00Z;USD;HIGH;ISM Services PMI
2026-07-08T14:00:00Z;USD;HIGH;FOMC Meeting Minutes
2026-07-10T08:30:00Z;CAD;HIGH;Employment Change
2026-07-10T08:30:00Z;CAD;HIGH;Unemployment Rate
2026-07-14T08:30:00Z;USD;HIGH;Core CPI m/m
2026-07-14T08:30:00Z;USD;HIGH;Core CPI y/y
2026-07-14T08:30:00Z;USD;HIGH;CPI m/m
2026-07-14T08:30:00Z;USD;HIGH;CPI y/y
2026-07-14T10:00:00Z;USD;HIGH;Fed Chairman Warsh Testifies
2026-07-14T16:00:00Z;GBP;HIGH;BOE Gov Bailey Speaks
2026-07-15T08:30:00Z;USD;HIGH;Core PPI m/m
2026-07-15T08:30:00Z;USD;HIGH;PPI m/m
2026-07-15T09:45:00Z;CAD;HIGH;BOC Monetary Policy Report
2026-07-15T09:45:00Z;CAD;HIGH;BOC Rate Statement
2026-07-15T09:45:00Z;CAD;HIGH;Overnight Rate
2026-07-15T10:00:00Z;USD;HIGH;Fed Chairman Warsh Testifies
2026-07-15T10:45:00Z;CAD;HIGH;BOC Press Conference
2026-07-16T02:00:00Z;GBP;HIGH;GDP m/m
2026-07-20T08:30:00Z;CAD;HIGH;CPI m/m
2026-07-20T08:30:00Z;CAD;HIGH;Median CPI y/y
2026-07-20T08:30:00Z;CAD;HIGH;Trimmed CPI y/y
2026-07-21T02:00:00Z;GBP;HIGH;Claimant Count Change
2026-07-22T02:00:00Z;GBP;HIGH;CPI y/y
2026-07-23T08:15:00Z;EUR;HIGH;Main Refinancing Rate
2026-07-23T08:15:00Z;EUR;HIGH;Monetary Policy Statement
2026-07-23T08:45:00Z;EUR;HIGH;ECB Press Conference
2026-07-29T14:00:00Z;USD;HIGH;Federal Funds Rate
2026-07-29T14:00:00Z;USD;HIGH;FOMC Statement
2026-07-29T14:30:00Z;USD;HIGH;FOMC Press Conference
2026-07-30T07:00:00Z;GBP;HIGH;BOE Monetary Policy Report
2026-07-30T07:00:00Z;GBP;HIGH;Monetary Policy Summary
2026-07-30T07:00:00Z;GBP;HIGH;MPC Official Bank Rate Votes
2026-07-30T07:00:00Z;GBP;HIGH;Official Bank Rate
2026-07-30T08:00:00Z;GBP;HIGH;BOE Gov Bailey Speaks
2026-07-30T08:30:00Z;USD;HIGH;Advance GDP q/q
2026-07-30T08:30:00Z;USD;HIGH;Core PCE Price Index m/m
2026-07-31T08:30:00Z;CAD;HIGH;GDP m/m
2026-08-03T09:00:00Z;USD;HIGH;ISM Manufacturing PMI
2026-08-07T07:30:00Z;CAD;HIGH;Employment Change
2026-08-07T07:30:00Z;CAD;HIGH;Unemployment Rate
2026-08-07T07:30:00Z;USD;HIGH;Average Hourly Earnings m/m
2026-08-07T07:30:00Z;USD;HIGH;Non-Farm Employment Change
2026-08-07T07:30:00Z;USD;HIGH;Unemployment Rate
2026-08-12T07:30:00Z;USD;HIGH;Core CPI m/m
2026-08-12T07:30:00Z;USD;HIGH;Core CPI y/y
2026-08-12T07:30:00Z;USD;HIGH;CPI m/m
2026-08-12T07:30:00Z;USD;HIGH;CPI y/y
2026-08-13T01:00:00Z;GBP;HIGH;GDP m/m
2026-08-13T07:30:00Z;USD;HIGH;Core PPI m/m
2026-08-13T07:30:00Z;USD;HIGH;PPI m/m
2026-08-17T07:30:00Z;CAD;HIGH;CPI m/m
2026-08-17T07:30:00Z;CAD;HIGH;Median CPI y/y
2026-08-17T07:30:00Z;CAD;HIGH;Trimmed CPI y/y
2026-08-18T01:00:00Z;GBP;HIGH;Claimant Count Change
2026-08-19T01:00:00Z;GBP;HIGH;CPI y/y
